Date,ADANIPORTS.NS,AXISBANK.NS,ASIANPAINT.NS,Portfolio Value
2017-01-02,2738.00,4477.50,9046.50,16262.0
2017-01-03,2739.50,4552.50,8966.00,16258.0
2017-01-04,2749.00,4531.00,9066.00,16346.0
2017-01-05,2875.00,4580.50,9165.00,16620.5
2017-01-06,2860.50,4552.00,9295.00,16707.5
2017-01-09,2847.00,4527.50,9101.00,16475.5
2017-01-10,2939.00,4473.50,9236.00,16648.5
2017-01-11,2956.50,4536.00,9346.50,16839.0
2017-01-12,2927.50,4552.00,9335.50,16815.0
2017-01-13,2940.50,4728.00,9332.50,17001.0
2017-01-16,3006.50,4772.50,9352.50,17131.5
2017-01-17,2948.50,4872.00,9601.50,17422.0
2017-01-18,2919.00,4885.00,9633.50,17437.5
2017-01-19,2953.50,4838.00,9627.00,17418.5
2017-01-20,2841.50,4507.50,9672.00,17021.0
2017-01-23,2862.50,4450.00,9647.00,16959.5
2017-01-24,2931.50,4512.50,9734.50,17178.5
2017-01-25,3046.50,4635.50,9777.00,17459.0
2017-01-27,3039.50,4728.50,9696.00,17464.0
2017-01-30,3026.00,4719.00,9732.00,17477.0
2017-01-31,2933.50,4660.00,9707.00,17300.5
2017-02-01,3046.00,4756.50,9910.00,17712.5
2017-02-02,3041.50,4825.50,9890.00,17757.0
2017-02-03,3035.50,4907.00,9859.00,17801.5
2017-02-06,3092.00,4983.00,9925.00,18000.0
2017-02-07,3036.50,4934.00,9993.00,17963.5
2017-02-08,3055.50,4876.00,9977.00,17908.5
2017-02-09,3048.00,4852.50,10028.50,17929.0
2017-02-10,3112.50,4889.00,9930.50,17932.0
2017-02-13,3095.50,4903.00,9847.50,17846.0
2017-02-14,3070.00,4869.00,9808.00,17747.0
2017-02-15,2999.50,4882.00,9817.00,17698.5
2017-02-16,2986.00,4931.50,9699.00,17616.5
2017-02-17,2972.50,4891.00,9608.00,17471.5
2017-02-20,3003.00,4810.50,9757.50,17571.0
2017-02-21,3041.50,5043.50,9915.00,18000.0
2017-02-22,3003.00,5253.00,10203.00,18459.0
2017-02-23,2972.50,5281.50,10090.00,18344.0
2017-02-27,2966.50,5089.50,10019.50,18075.5
2017-02-28,3017.50,5066.50,10242.00,18326.0
2017-03-01,3025.00,5134.00,10327.50,18486.5
2017-03-02,2938.50,5063.00,10287.50,18289.0
2017-03-03,2963.50,5129.00,10137.00,18229.5
2017-03-06,3031.50,5186.50,10294.00,18512.0
2017-03-07,3082.50,5118.00,10239.50,18440.0
2017-03-08,3065.00,5101.50,10225.50,18392.0
2017-03-09,3009.00,5164.00,10311.00,18484.0
2017-03-10,2988.00,5159.00,10302.50,18449.5
2017-03-14,3092.50,5109.00,10714.00,18915.5
2017-03-15,3103.00,5117.00,10640.50,18860.5
2017-03-16,3257.00,5136.50,10875.50,19269.0
2017-03-17,3254.00,5171.50,10794.50,19220.0
2017-03-20,3254.50,5028.50,10797.00,19080.0
2017-03-21,3257.50,4883.00,10687.00,18827.5
2017-03-22,3236.50,4854.50,10578.50,18669.5
2017-03-23,3256.00,4882.50,10616.00,18754.5
2017-03-24,3232.50,4893.50,10642.50,18768.5
2017-03-27,3193.00,4871.50,10429.00,18493.5
2017-03-28,3208.50,5028.00,10578.50,18815.0
2017-03-29,3210.00,5042.00,10681.00,18933.0
2017-03-30,3393.00,4992.50,10701.00,19086.5
2017-03-31,3396.00,4908.00,10735.00,19039.0
2017-04-03,3421.00,5006.00,10898.50,19325.5
2017-04-05,3581.50,5083.00,10825.50,19490.0
2017-04-06,3566.50,5087.00,10869.00,19522.5
2017-04-07,3471.50,5042.00,10829.50,19343.0
2017-04-10,3521.50,5107.50,10592.00,19221.0
2017-04-11,3338.00,5150.50,10725.00,19213.5
2017-04-12,3276.00,5060.00,10704.50,19040.5
2017-04-13,3204.50,5075.50,10783.00,19063.0
2017-04-17,3200.00,5023.50,10593.50,18817.0
2017-04-18,3193.50,4996.50,10404.50,18594.5
2017-04-19,3258.00,4995.00,10489.00,18742.0
2017-04-20,3324.00,4880.00,10588.00,18792.0
2017-04-21,3260.00,4862.50,10654.50,18777.0
2017-04-24,3310.00,4986.50,10699.50,18996.0
2017-04-25,3313.50,5164.00,10979.00,19456.5
2017-04-26,3235.00,5171.50,11046.50,19453.0
2017-04-27,3225.00,5066.00,11053.50,19344.5
2017-04-28,3277.00,5096.50,11204.50,19578.0
2017-05-02,3306.00,5055.50,11121.00,19482.5
2017-05-03,3274.50,5008.50,11189.00,19472.0
2017-05-04,3394.50,5188.50,11326.00,19909.0
2017-05-05,3449.50,5045.00,11468.00,19962.5
2017-05-08,3405.00,5112.00,11673.50,20190.5
2017-05-09,3475.00,5182.00,11653.00,20310.0
2017-05-10,3519.00,5263.50,11583.00,20365.5
2017-05-11,3600.50,5169.00,11664.50,20434.0
2017-05-12,3579.50,5030.00,11329.50,19939.0
2017-05-15,3562.00,5001.00,11480.50,20043.5
2017-05-16,3545.00,5015.00,11428.50,19988.5
2017-05-17,3485.50,5028.00,11549.50,20063.0
2017-05-18,3479.00,4920.00,11513.50,19912.5
2017-05-19,3494.50,5017.00,11231.50,19743.0
2017-05-22,3544.50,5023.00,11125.50,19693.0
2017-05-23,3316.50,5006.00,10989.00,19311.5
2017-05-24,3396.50,4993.00,10912.00,19301.5
2017-05-25,3407.50,5074.50,11132.00,19614.0
2017-05-26,3480.00,5114.50,11324.50,19919.0
2017-05-29,3278.00,5072.50,11465.50,19816.0
2017-05-30,3403.50,5144.00,11594.50,20142.0
2017-05-31,3390.00,5140.50,11512.00,20042.5
2017-06-01,3492.00,5093.00,11604.50,20189.5
2017-06-02,3579.00,5080.50,11643.00,20302.5
2017-06-05,3610.50,5136.50,11615.50,20362.5
2017-06-06,3614.50,5102.00,11531.50,20248.0
2017-06-07,3591.00,5142.00,11615.00,20348.0
2017-06-08,3591.50,5157.50,11433.00,20182.0
2017-06-09,3598.50,5136.50,11557.50,20292.5
2017-06-12,3568.50,5075.00,11507.00,20150.5
2017-06-13,3594.00,5064.50,11497.00,20155.5
2017-06-14,3595.00,5095.00,11496.00,20186.0
2017-06-15,3600.00,5076.00,11403.00,20079.0
2017-06-16,3631.50,5104.50,11454.00,20190.0
2017-06-19,3738.00,5201.50,11541.50,20481.0
2017-06-20,3756.50,5118.50,11494.50,20369.5
2017-06-21,3699.50,5077.50,11554.00,20331.0
2017-06-22,3694.50,5080.00,11625.50,20400.0
2017-06-23,3654.50,5046.50,11536.50,20237.5
2017-06-27,3677.00,4928.50,11341.50,19947.0
2017-06-28,3645.00,4920.00,11091.50,19656.5
2017-06-29,3645.00,5121.00,11045.50,19811.5
2017-06-30,3630.50,5173.50,11029.50,19833.5
2017-07-03,3680.00,5172.50,11202.50,20055.0
2017-07-04,3717.00,5084.00,11085.50,19886.5
2017-07-05,3729.00,5139.00,11266.50,20134.5
2017-07-06,3730.50,5095.00,11321.50,20147.0
2017-07-07,3716.00,5031.50,11154.50,19902.0
2017-07-10,3749.50,5099.50,11277.50,20126.5
2017-07-11,3727.00,5068.00,11317.50,20112.5
2017-07-12,3738.50,5067.50,11337.00,20143.0
2017-07-13,3759.50,5119.00,11255.00,20133.5
2017-07-14,3756.00,5129.50,11173.50,20059.0
2017-07-17,3812.50,5105.00,11254.50,20172.0
2017-07-18,3819.00,5165.50,11466.00,20450.5
2017-07-19,3810.50,5202.00,11558.50,20571.0
2017-07-20,3800.00,5400.00,11555.50,20755.5
2017-07-21,3819.00,5408.00,11561.00,20788.0
2017-07-24,3884.50,5348.00,11557.50,20790.0
2017-07-25,3907.50,5449.50,11501.00,20858.0
2017-07-26,3930.50,5288.50,11340.00,20559.0
2017-07-27,3925.00,5246.50,11488.00,20659.5
2017-07-28,3957.50,5151.00,11532.50,20641.0
2017-07-31,3959.00,5198.00,11617.00,20774.0
2017-08-01,4040.00,5165.50,11482.00,20687.5
2017-08-02,4112.50,5169.00,11445.00,20726.5
2017-08-03,4073.50,5060.00,11461.00,20594.5
2017-08-04,4066.50,5081.00,11573.00,20720.5
2017-08-07,4142.50,5058.00,11496.50,20697.0
2017-08-08,4148.00,4994.50,11473.50,20616.0
2017-08-09,3972.50,4869.50,11555.50,20397.5
2017-08-10,3856.50,4855.00,11511.00,20222.5
2017-08-11,3827.50,4897.00,11439.00,20163.5
2017-08-14,3962.00,4917.50,11540.00,20419.5
2017-08-16,3975.50,4995.00,11413.00,20383.5
2017-08-17,3893.00,4971.50,11349.50,20214.0
2017-08-18,3862.00,4904.00,11400.00,20166.0
2017-08-21,3759.50,4948.00,11344.50,20052.0
2017-08-22,3756.50,4992.00,11294.50,20043.0
2017-08-23,3850.00,5026.50,11413.00,20289.5
2017-08-24,3800.50,5068.50,11356.00,20225.0
2017-08-28,3875.00,5106.00,11559.00,20540.0
2017-08-29,3833.00,5036.00,11517.00,20386.0
2017-08-30,3897.50,5039.00,11533.50,20470.0
2017-08-31,3929.50,5003.50,11685.50,20618.5
2017-09-01,3949.00,5075.50,12159.00,21183.5
2017-09-04,3848.50,5017.50,11970.50,20836.5
2017-09-05,3903.00,5034.00,12063.50,21000.5
2017-09-06,3850.50,4928.50,12060.50,20839.5
2017-09-07,3877.00,4966.00,11986.50,20829.5
2017-09-08,3859.00,4940.00,12039.50,20838.5
2017-09-11,3853.50,4939.00,12380.50,21173.0
2017-09-12,3890.50,4965.00,12563.50,21419.0
2017-09-13,3900.00,4993.00,12549.50,21442.5
2017-09-14,4031.00,5197.50,12460.50,21689.0
2017-09-15,4051.50,5161.50,12455.00,21668.0
2017-09-18,4047.00,5245.50,12559.50,21852.0
2017-09-19,4069.00,5207.50,12533.00,21809.5
2017-09-20,4097.00,5194.50,12373.00,21664.5
2017-09-21,4102.00,5125.50,12291.00,21518.5
2017-09-22,4012.00,5053.00,12132.50,21197.5
2017-09-25,3886.50,5017.00,11969.50,20873.0
2017-09-26,3905.50,5119.50,11740.00,20765.0
2017-09-27,3725.50,5063.00,11600.00,20388.5
2017-09-28,3720.50,5118.00,11300.00,20138.5
2017-09-29,3767.50,5091.50,11317.00,20176.0
2017-10-03,3837.00,5096.50,11488.00,20421.5
2017-10-04,3876.50,5059.50,11540.50,20476.5
2017-10-05,3859.00,5012.00,11532.50,20403.5
2017-10-06,3892.50,5033.50,11573.00,20499.0
2017-10-09,3937.00,5059.50,11586.00,20582.5
2017-10-10,3968.50,5145.50,11630.00,20744.0
2017-10-11,3969.50,5157.50,11606.00,20733.0
2017-10-12,4037.00,5251.00,11588.00,20876.0
2017-10-13,4082.00,5294.50,11742.50,21119.0
2017-10-16,4068.00,5203.50,11710.50,20982.0
2017-10-17,4068.50,5131.50,11971.50,21171.5
2017-10-18,4069.00,4645.00,11796.50,20510.5
2017-10-19,4014.00,4603.00,11785.00,20402.0
2017-10-23,4070.50,4499.50,11741.50,20311.5
2017-10-24,4062.00,4519.50,12229.00,20810.5
2017-10-25,4154.50,4730.00,12017.00,20901.5
2017-10-26,4143.00,4843.00,11911.50,20897.5
2017-10-27,4320.50,4859.50,11845.50,21025.5
2017-10-30,4298.00,4840.00,11825.50,20963.5
2017-10-31,4303.50,5231.50,11808.50,21343.5
2017-11-01,4331.00,5351.00,11759.50,21441.5
2017-11-02,4372.50,5321.50,11784.00,21478.0
2017-11-03,4348.50,5401.00,11724.50,21474.0
2017-11-06,4375.50,5345.00,11623.50,21344.0
2017-11-07,4315.50,5271.50,11414.50,21001.5
2017-11-08,4297.00,5448.50,11722.00,21467.5
2017-11-09,4334.00,5404.00,11956.00,21694.0
2017-11-10,4320.50,5448.00,11786.00,21554.5
2017-11-13,4133.50,5373.50,11749.50,21256.5
2017-11-14,4107.50,5456.50,11550.50,21114.5
2017-11-15,4071.00,5420.00,11815.50,21306.5
2017-11-16,3972.00,5426.00,11795.50,21193.5
2017-11-17,4009.50,5424.00,11713.00,21146.5
2017-11-20,3986.00,5451.50,11663.50,21101.0
2017-11-21,4008.00,5468.00,11603.00,21079.0
2017-11-22,4145.00,5405.00,11743.00,21293.0
2017-11-23,4071.00,5441.50,11596.00,21108.5
2017-11-24,4046.00,5455.00,11596.00,21097.0
2017-11-27,3995.00,5594.00,11565.00,21154.0
2017-11-28,3969.50,5625.50,11710.00,21305.0
2017-11-29,4034.50,5495.00,11538.50,21068.0
2017-11-30,3980.00,5354.00,11467.50,20801.5
2017-12-01,3867.50,5338.50,11337.50,20543.5
2017-12-04,3881.50,5349.50,11210.00,20441.0
2017-12-05,3888.50,5331.50,11150.00,20370.0
2017-12-06,3857.50,5305.00,11043.50,20206.0
2017-12-07,3897.00,5340.50,11444.00,20681.5
2017-12-08,3934.00,5425.00,11355.00,20714.0
2017-12-11,3917.50,5451.00,11258.50,20627.0
2017-12-12,4025.00,5386.00,11174.00,20585.0
2017-12-13,3940.00,5357.50,11165.50,20463.0
2017-12-14,3951.00,5414.50,11234.50,20600.0
2017-12-15,4013.50,5479.50,11187.00,20680.0
2017-12-18,4046.00,5486.50,11371.50,20904.0
2017-12-19,4058.00,5536.50,11377.00,20971.5
2017-12-20,4044.00,5545.00,11355.00,20944.0
2017-12-21,4023.00,5489.50,11379.00,20891.5
2017-12-22,4021.50,5536.00,11380.00,20937.5
2017-12-26,4045.50,5550.00,11507.50,21103.0
2017-12-27,4042.00,5546.00,11490.50,21078.5
2017-12-28,3987.00,5468.50,11444.00,20899.5
2017-12-29,4056.50,5639.50,11585.00,21281.0
2018-01-01,3996.50,5655.00,11436.50,21088.0
2018-01-02,3974.00,5595.00,11427.50,20996.5
2018-01-03,4076.50,5604.50,11419.00,21100.0
2018-01-04,4098.50,5599.00,11720.50,21418.0
2018-01-05,4238.00,5632.50,11852.50,21723.0
2018-01-08,4229.00,5654.50,11820.00,21703.5
2018-01-09,4211.00,5653.00,11930.50,21794.5
2018-01-10,4234.50,5628.00,11774.00,21636.5
2018-01-11,4255.00,5587.50,11889.50,21732.0
2018-01-12,4233.00,5551.00,11897.00,21681.0
2018-01-15,4206.00,5605.50,12040.50,21852.0
2018-01-16,4235.50,5632.00,11887.50,21755.0
2018-01-17,4334.00,5852.00,11937.50,22123.5
2018-01-18,4162.50,5848.00,11882.50,21893.0
2018-01-19,4334.50,5902.50,11899.00,22136.0
2018-01-22,4380.50,6115.50,11760.00,22256.0
2018-01-23,4384.00,6201.00,11699.00,22284.0
2018-01-24,4487.50,6079.50,11510.50,22077.5
2018-01-25,4365.00,6161.00,11504.50,22030.5
2018-01-29,4366.50,6055.50,11520.50,21942.5
2018-01-30,4282.50,5937.50,11267.00,21487.0
2018-01-31,4288.50,5936.00,11283.00,21507.5
2018-02-01,4287.50,5928.00,11530.00,21745.5
2018-02-02,4179.50,5649.00,11379.00,21207.5
2018-02-05,4082.00,5662.50,11341.00,21085.5
2018-02-06,4048.00,5637.00,11102.50,20787.5
2018-02-07,4070.00,5593.50,11211.00,20874.5
2018-02-08,4051.00,5684.50,11240.50,20976.0
2018-02-09,3990.00,5575.50,11307.50,20873.0
2018-02-12,4033.50,5642.00,11444.00,21119.5
2018-02-14,4130.00,5439.00,11391.50,20960.5
2018-02-15,4117.00,5437.00,11354.50,20908.5
2018-02-16,4054.50,5378.50,11438.50,20871.5
2018-02-19,3938.50,5405.50,11203.50,20547.5
2018-02-20,3949.00,5317.00,11264.00,20530.0
2018-02-21,3956.00,5358.00,11272.00,20586.0
2018-02-22,4040.00,5302.50,11181.00,20523.5
2018-02-23,4065.00,5366.50,11018.00,20449.5
2018-02-26,4150.50,5523.00,11048.00,20721.5
2018-02-27,4104.50,5384.00,11103.50,20592.0
2018-02-28,4083.50,5287.50,11177.50,20548.5
2018-03-01,4061.00,5257.50,11189.00,20507.5
2018-03-05,4039.50,5245.50,11059.50,20344.5
2018-03-06,4052.50,5173.50,11016.00,20242.0
2018-03-07,3769.50,5126.50,11072.50,19968.5
2018-03-08,3879.50,5205.50,11276.00,20361.0
2018-03-09,3779.00,5053.50,11291.00,20123.5
2018-03-12,3866.00,5192.00,11315.00,20373.0
2018-03-13,3852.00,5315.00,11403.00,20570.0
2018-03-14,3821.00,5361.50,11370.00,20552.5
2018-03-15,3821.50,5296.50,11608.00,20726.0
2018-03-16,3705.00,5226.00,11227.50,20158.5
2018-03-19,3643.00,5194.50,11025.50,19863.0
2018-03-20,3700.00,5211.00,11065.00,19976.0
2018-03-21,3637.00,5263.00,11035.50,19935.5
2018-03-22,3582.50,5182.00,11071.00,19835.5
2018-03-23,3624.00,4995.00,11126.50,19745.5
2018-03-26,3651.50,5073.00,11175.50,19900.0
2018-03-27,3655.00,5122.00,11311.00,20088.0
2018-03-28,3541.00,5105.00,11204.00,19850.0
2018-04-02,3697.00,4990.50,11501.50,20189.0
2018-04-03,3664.00,5015.50,11521.00,20200.5
2018-04-04,3678.00,4922.50,11360.00,19960.5
2018-04-05,3759.50,5031.00,11429.00,20219.5
2018-04-06,3793.00,5002.00,11435.00,20230.0
2018-04-09,3773.50,5193.00,11574.50,20541.0
2018-04-10,3872.50,5461.50,11567.50,20901.5
2018-04-11,3779.00,5398.00,11558.50,20735.5
2018-04-12,3723.50,5487.50,11652.00,20863.0
2018-04-13,3831.00,5425.50,11622.00,20878.5
2018-04-16,3875.00,5424.00,11788.50,21087.5
2018-04-17,3834.00,5324.00,11760.00,20918.0
2018-04-18,3849.50,5182.50,11723.00,20755.0
2018-04-19,3865.50,5129.00,11650.00,20644.5
2018-04-20,3811.50,5057.00,11593.50,20462.0
2018-04-23,3863.50,5062.00,11787.00,20712.5
2018-04-24,3922.50,5048.50,11701.00,20672.0
2018-04-25,3919.00,4984.00,11630.50,20533.5
2018-04-26,3971.00,4937.50,11557.00,20465.5
2018-04-27,4024.50,5392.00,11816.00,21232.5
2018-04-30,4073.00,5173.00,12017.00,21263.0
2018-05-02,4011.00,5237.50,12223.00,21471.5
2018-05-03,3970.00,5334.00,12067.50,21371.5
2018-05-04,4082.50,5203.00,11904.50,21190.0
2018-05-07,4124.00,5361.00,12152.50,21637.5
2018-05-08,4128.00,5422.50,12099.00,21649.5
2018-05-09,4133.50,5485.00,12225.50,21844.0
2018-05-10,4108.00,5476.50,12177.00,21761.5
2018-05-11,4127.00,5533.00,12864.50,22524.5
2018-05-14,4099.50,5519.00,12973.50,22592.0
2018-05-15,4091.50,5497.00,13146.50,22735.0
2018-05-16,4031.00,5500.00,13237.00,22768.0
2018-05-17,3979.00,5394.50,13094.50,22468.0
2018-05-18,3895.00,5329.00,13083.50,22307.5
2018-05-21,3837.00,5268.50,13017.00,22122.5
2018-05-22,3797.50,5233.00,12868.50,21899.0
2018-05-23,3742.50,5202.50,12786.00,21731.0
2018-05-24,3712.50,5344.50,12936.00,21993.0
2018-05-25,3799.00,5385.00,12923.50,22107.5
2018-05-28,3789.00,5461.50,13218.50,22469.0
2018-05-29,3778.50,5477.50,12995.00,22251.0
2018-05-30,3744.00,5416.50,12938.50,22099.0
2018-05-31,3921.50,5459.00,13046.50,22427.0
2018-06-01,3876.00,5366.50,12930.50,22173.0
2018-06-04,3785.50,5370.50,12844.50,22000.5
2018-06-05,3736.00,5309.00,12736.00,21781.0
2018-06-06,3758.00,5314.00,12628.00,21700.0
2018-06-07,3800.50,5424.00,12908.00,22132.5
2018-06-08,3805.00,5374.00,12788.50,21967.5
2018-06-11,3823.00,5399.50,12833.00,22055.5
2018-06-12,3889.00,5371.50,12877.00,22137.5
2018-06-13,3828.50,5406.50,12864.00,22099.0
2018-06-14,3724.766666666667,5320.00,12861.00,21905.766666666666
2018-06-15,3724.766666666667,5287.50,12822.00,21834.266666666666
2018-06-18,3724.766666666667,5225.50,12820.50,21770.766666666666
